timestamp,batch_idx,step_count,chamfer_distance_batch,chamfer_distance_running_avg,f1_tau_batch,f1_tau_running_avg,f1_2tau_batch,f1_2tau_running_avg
"2026-02-02 00:07:31,645",260,260,0.000458,3.5e-05,0.554893,0.042684,0.737704,0.056746
"2026-02-02 00:07:39,173",265,265,0.00046,3.5e-05,0.553426,0.042571,0.736544,0.056657
"2026-02-02 00:07:46,357",270,270,0.000457,3.5e-05,0.554323,0.04264,0.737532,0.056733
"2026-02-02 00:07:53,449",275,275,0.000454,3.5e-05,0.555381,0.042722,0.738519,0.056809
"2026-02-02 00:08:00,540",280,280,0.000455,3.5e-05,0.554602,0.042662,0.73765,0.056742
"2026-02-02 00:08:07,662",285,285,0.000455,3.5e-05,0.554011,0.042616,0.737161,0.056705
"2026-02-02 00:08:14,638",290,290,0.000457,3.5e-05,0.553596,0.042584,0.736305,0.056639
"2026-02-02 00:08:22,082",295,295,0.000456,3.5e-05,0.552975,0.042537,0.735813,0.056601
"2026-02-02 00:08:29,341",300,300,0.000455,3.5e-05,0.552876,0.042529,0.735831,0.056602
"2026-02-02 00:08:36,719",305,305,0.000457,3.5e-05,0.551667,0.042436,0.734694,0.056515
"2026-02-02 00:08:44,141",310,310,0.000459,3.5e-05,0.551678,0.042437,0.73462,0.056509
"2026-02-02 00:08:51,572",315,315,0.000457,3.5e-05,0.55234,0.042488,0.735226,0.056556
"2026-02-02 00:08:58,870",320,320,0.000454,3.5e-05,0.553312,0.042562,0.736281,0.056637
"2026-02-02 00:09:05,725",325,325,0.000456,3.5e-05,0.552203,0.042477,0.735344,0.056565
"2026-02-02 00:09:12,956",330,330,0.000459,3.5e-05,0.551622,0.042432,0.734567,0.056505
"2026-02-02 00:09:20,199",335,335,0.000457,3.5e-05,0.552735,0.042518,0.735514,0.056578
"2026-02-02 00:09:27,268",340,340,0.000457,3.5e-05,0.552641,0.042511,0.735364,0.056566
"2026-02-02 00:09:34,603",345,345,0.000457,3.5e-05,0.552526,0.042502,0.735226,0.056556
"2026-02-02 00:09:41,617",350,350,0.000455,3.5e-05,0.552621,0.042509,0.735446,0.056573
"2026-02-02 00:09:49,069",355,355,0.000453,3.5e-05,0.554315,0.04264,0.736863,0.056682
"2026-02-02 00:09:56,402",360,360,0.000451,3.5e-05,0.554751,0.042673,0.73729,0.056715
"2026-02-02 00:10:03,547",365,365,0.000453,3.5e-05,0.554357,0.042643,0.736702,0.056669
"2026-02-02 00:10:10,475",370,370,0.000452,3.5e-05,0.554469,0.042651,0.736981,0.056691
"2026-02-02 00:10:17,688",375,375,0.000452,3.5e-05,0.554262,0.042636,0.736711,0.05667
"2026-02-02 00:10:25,020",380,380,0.000454,3.5e-05,0.553634,0.042587,0.73611,0.056624
"2026-02-02 00:10:32,325",385,385,0.000454,3.5e-05,0.55354,0.04258,0.736081,0.056622
"2026-02-02 00:10:39,874",390,390,0.000452,3.5e-05,0.554229,0.042633,0.736587,0.056661
"2026-02-02 00:10:47,014",395,395,0.00045,3.5e-05,0.555338,0.042718,0.737594,0.056738
"2026-02-02 00:10:54,342",400,400,0.000449,6.3e-05,0.556214,0.09096,0.73839,0.118485
"2026-02-02 00:11:01,682",405,405,0.000447,6.1e-05,0.55743,0.092105,0.739405,0.119229
"2026-02-02 00:11:09,035",410,410,0.000447,6.2e-05,0.5581,0.091319,0.739932,0.118439
"2026-02-02 00:11:16,326",415,415,0.000445,6.1e-05,0.559406,0.092015,0.740816,0.118665
"2026-02-02 00:11:23,525",420,420,0.000443,6.1e-05,0.560455,0.092125,0.741517,0.118585
"2026-02-02 00:11:30,127",425,425,0.000442,6e-05,0.561788,0.092541,0.742445,0.118803
"2026-02-02 00:11:37,394",430,430,0.00044,6e-05,0.563397,0.093133,0.7436,0.119197
"2026-02-02 00:11:44,790",435,435,0.000439,6e-05,0.5636,0.092408,0.743873,0.118763
"2026-02-02 00:11:52,051",440,440,0.000438,6e-05,0.564545,0.092417,0.744664,0.118827
"2026-02-02 00:11:58,992",445,445,0.000437,6e-05,0.565193,0.092234,0.745008,0.11858
"2026-02-02 00:12:06,510",450,450,0.000436,6e-05,0.56601,0.0922,0.745695,0.118602
"2026-02-02 00:12:13,730",455,455,0.000435,6e-05,0.567169,0.092385,0.746626,0.118773
"2026-02-02 00:12:20,993",460,460,0.000434,6e-05,0.56826,0.092518,0.74736,0.118821
"2026-02-02 00:12:28,167",465,465,0.000434,6.1e-05,0.568872,0.092396,0.747781,0.118708
"2026-02-02 00:12:35,412",470,470,0.000433,6.1e-05,0.56959,0.092348,0.748308,0.118666
"2026-02-02 00:12:42,833",475,475,0.000432,6.1e-05,0.569904,0.092127,0.748561,0.118508
"2026-02-02 00:12:50,121",480,480,0.000431,6.1e-05,0.570861,0.092217,0.74937,0.118615
"2026-02-02 00:12:57,164",485,485,0.00043,6.1e-05,0.57172,0.092264,0.750035,0.118657
"2026-02-02 00:13:04,065",490,490,0.000429,6.1e-05,0.572813,0.092407,0.750887,0.118774
"2026-02-02 00:13:11,247",495,495,0.000428,6.1e-05,0.57401,0.092584,0.751682,0.118865
"2026-02-02 00:13:18,243",500,500,0.000426,6.1e-05,0.575124,0.092722,0.752659,0.11902
"2026-02-02 00:13:24,757",505,505,0.000425,6.1e-05,0.575716,0.09267,0.753146,0.118993
"2026-02-02 00:13:31,890",510,510,0.000426,6.1e-05,0.57551,0.092351,0.752838,0.118698
"2026-02-02 00:13:38,996",515,515,0.000425,6.1e-05,0.57642,0.092429,0.753516,0.118754
"2026-02-02 00:13:46,304",520,520,0.000424,6.1e-05,0.577288,0.092494,0.754164,0.1188
"2026-02-02 00:13:53,445",525,525,0.000423,6.1e-05,0.578232,0.092582,0.754876,0.118867
"2026-02-02 00:14:00,332",530,530,0.000423,6.1e-05,0.578663,0.092512,0.755092,0.118782
"2026-02-02 00:14:07,773",535,535,0.000421,6.1e-05,0.579474,0.092563,0.755706,0.118822
"2026-02-02 00:14:15,203",540,540,0.000421,6.1e-05,0.580047,0.092546,0.756154,0.118814
"2026-02-02 00:14:22,389",545,545,0.000419,6.1e-05,0.580968,0.092631,0.756972,0.118913
"2026-02-02 00:14:29,689",550,550,0.000418,6.1e-05,0.581829,0.092699,0.757497,0.11893
"2026-02-02 00:14:37,098",555,555,0.000418,6.1e-05,0.5822,0.092634,0.757884,0.118911
"2026-02-02 00:14:44,145",560,560,0.000418,6.1e-05,0.582154,0.092467,0.757782,0.118766
"2026-02-02 00:14:51,290",565,565,0.000417,6.1e-05,0.582794,0.092485,0.758399,0.118815
"2026-02-02 00:14:58,459",570,570,0.000416,6.1e-05,0.583488,0.092518,0.758961,0.118849
"2026-02-02 00:15:05,467",575,575,0.000414,6e-05,0.584608,0.092658,0.759945,0.118989
"2026-02-02 00:15:12,376",580,580,0.000414,6e-05,0.585155,0.092656,0.760343,0.118983
"2026-02-02 00:15:19,569",585,585,0.000415,6.1e-05,0.584971,0.092482,0.760072,0.118819
"2026-02-02 00:15:26,678",590,590,0.000415,6.1e-05,0.585116,0.092394,0.760094,0.118731
"2026-02-02 00:15:33,710",595,595,0.000414,8.2e-05,0.58608,0.147162,0.760795,0.183803
"2026-02-02 00:15:40,862",600,600,0.000414,8.9e-05,0.586451,0.143214,0.760899,0.180272
"2026-02-02 00:15:47,931",605,605,0.000416,9.8e-05,0.586449,0.141,0.760521,0.177749
"2026-02-02 00:15:55,286",610,610,0.000417,9.7e-05,0.587599,0.143056,0.761258,0.17955
"2026-02-02 00:16:02,096",615,615,0.000415,9.2e-05,0.589351,0.145499,0.762441,0.181513
"2026-02-02 00:16:09,416",620,620,0.000414,9.1e-05,0.589986,0.145199,0.762847,0.181472
"2026-02-02 00:16:16,855",625,625,0.000414,9.1e-05,0.590248,0.144459,0.762846,0.180858
"2026-02-02 00:16:23,897",630,630,0.000413,9.1e-05,0.590937,0.144466,0.763261,0.180939
"2026-02-02 00:16:30,688",635,635,0.000412,9e-05,0.591688,0.144556,0.763859,0.181216
"2026-02-02 00:16:38,056",640,640,0.000412,9e-05,0.59259,0.144794,0.764407,0.181395
"2026-02-02 00:16:45,239",645,645,0.000411,9e-05,0.592943,0.144484,0.764693,0.181302
"2026-02-02 00:16:52,108",650,650,0.000411,8.9e-05,0.593692,0.144575,0.765124,0.181353
"2026-02-02 00:16:59,518",655,655,0.000412,9.1e-05,0.593656,0.144031,0.764879,0.180859
"2026-02-02 00:17:06,689",660,660,0.000415,9.3e-05,0.593408,0.143408,0.764363,0.180232
"2026-02-02 00:17:13,957",665,665,0.000416,9.3e-05,0.593727,0.143266,0.764374,0.180056
"2026-02-02 00:17:21,127",670,670,0.000414,9.2e-05,0.595038,0.143803,0.765238,0.180469
"2026-02-02 00:17:28,265",675,675,0.000413,9.2e-05,0.595575,0.143802,0.765578,0.180511
"2026-02-02 00:17:35,804",680,680,0.000423,9.8e-05,0.595194,0.143258,0.764885,0.179935
"2026-02-02 00:17:42,875",685,685,0.00043,0.000101,0.594215,0.14243,0.763602,0.17908
"2026-02-02 00:17:50,114",690,690,0.000431,0.000101,0.594474,0.142351,0.76355,0.178971
"2026-02-02 00:17:57,582",695,695,0.00043,0.000101,0.595362,0.142609,0.76405,0.17916
"2026-02-02 00:18:04,596",700,700,0.000429,0.0001,0.595695,0.142572,0.76415,0.179134
"2026-02-02 00:18:11,716",705,705,0.000429,0.0001,0.59631,0.142677,0.764524,0.179243
"2026-02-02 00:18:18,721",710,710,0.000428,9.9e-05,0.597173,0.142892,0.76509,0.179435
"2026-02-02 00:18:25,656",715,715,0.000427,9.9e-05,0.597647,0.14292,0.765259,0.179437
"2026-02-02 00:18:33,070",720,720,0.000426,9.8e-05,0.598873,0.143275,0.766062,0.179714
"2026-02-02 00:18:40,155",725,725,0.000427,9.8e-05,0.599189,0.143227,0.76601,0.179616
"2026-02-02 00:18:47,738",730,730,0.000427,9.8e-05,0.599786,0.1433,0.766373,0.179694
"2026-02-02 00:18:54,973",735,735,0.000426,9.7e-05,0.600265,0.143324,0.766627,0.179725
"2026-02-02 00:19:02,040",740,740,0.000427,9.8e-05,0.600275,0.143168,0.76644,0.179586
"2026-02-02 00:19:09,368",745,745,0.000427,9.8e-05,0.600557,0.143125,0.766533,0.17956
"2026-02-02 00:19:16,358",750,750,0.00043,9.9e-05,0.600334,0.142901,0.766057,0.179327
"2026-02-02 00:19:23,220",755,755,0.00043,9.8e-05,0.600579,0.142856,0.766228,0.179338
"2026-02-02 00:19:30,259",760,760,0.000431,9.9e-05,0.600414,0.142673,0.765966,0.179198
"2026-02-02 00:19:37,156",765,765,0.000431,9.8e-05,0.600482,0.142578,0.76593,0.179142
"2026-02-02 00:19:44,815",770,770,0.00043,9.8e-05,0.600531,0.142483,0.765909,0.179094
"2026-02-02 00:19:52,092",775,775,0.000434,9.9e-05,0.60014,0.14225,0.76538,0.178882
"2026-02-02 00:19:59,119",780,780,0.000433,9.9e-05,0.600852,0.14238,0.765828,0.178993
"2026-02-02 00:20:06,326",785,785,0.000434,9.9e-05,0.600999,0.14233,0.765687,0.178914
"2026-02-02 00:20:13,721",790,790,0.000433,9.9e-05,0.60165,0.142437,0.766042,0.178991
"2026-02-02 00:20:20,954",795,795,0.000433,9.9e-05,0.601748,0.142375,0.76599,0.178944
"2026-02-02 00:20:27,866",800,800,0.000433,9.8e-05,0.602081,0.142385,0.766101,0.178946
"2026-02-02 00:20:34,985",805,805,0.000434,9.9e-05,0.602101,0.142305,0.766009,0.17889
"2026-02-02 00:20:42,101",810,810,0.000434,9.8e-05,0.602746,0.142408,0.766301,0.178946
"2026-02-02 00:20:49,482",815,815,0.000435,9.9e-05,0.602797,0.142342,0.766214,0.178894
"2026-02-02 00:20:56,336",820,820,0.000435,0.000182,0.602989,0.166941,0.766268,0.215871
"2026-02-02 00:21:03,441",825,825,0.00044,0.000192,0.602448,0.179691,0.765593,0.227335
"2026-02-02 00:21:10,670",830,830,0.00044,0.000167,0.602406,0.183611,0.765417,0.231139
"2026-02-02 00:21:18,047",835,835,0.000441,0.000158,0.602327,0.184912,0.765269,0.232653
"2026-02-02 00:21:25,552",840,840,0.000441,0.000151,0.602329,0.185836,0.765308,0.234018
"2026-02-02 00:21:32,742",845,845,0.000441,0.000148,0.602176,0.186016,0.765113,0.234266
"2026-02-02 00:21:40,044",850,850,0.000441,0.000147,0.601988,0.186056,0.764918,0.234429
"2026-02-02 00:21:47,048",855,855,0.000441,0.000145,0.601911,0.186287,0.764795,0.234674
"2026-02-02 00:21:54,249",860,860,0.000441,0.000142,0.602325,0.187255,0.765024,0.235429
"2026-02-02 00:22:01,540",865,865,0.000443,0.000144,0.601708,0.186521,0.764288,0.23462
