batch_idx,batch_cd,running_avg_cd,batch_f1_tau,running_avg_f1_tau,batch_f1_2tau,running_avg_f1_2tau
000600,0.000414,0.000089,0.586446,0.143208,0.760894,0.180271
000605,0.000416,0.000098,0.586443,0.140995,0.760516,0.177746
000610,0.000417,0.000097,0.587594,0.143054,0.761253,0.179549
000615,0.000415,0.000092,0.589345,0.145495,0.762436,0.181511
000620,0.000414,0.000091,0.589981,0.145196,0.762842,0.181471
000625,0.000414,0.000091,0.590244,0.144457,0.762842,0.180858
000630,0.000413,0.000091,0.590932,0.144465,0.763257,0.180939
000635,0.000412,0.000090,0.591683,0.144553,0.763855,0.181216
000640,0.000412,0.000090,0.592585,0.144791,0.764404,0.181396
000645,0.000411,0.000090,0.592937,0.144481,0.764690,0.181302
000650,0.000411,0.000089,0.593686,0.144572,0.765120,0.181353
000655,0.000412,0.000091,0.593650,0.144028,0.764875,0.180859
000660,0.000415,0.000093,0.593402,0.143405,0.764359,0.180232
000665,0.000416,0.000093,0.593721,0.143263,0.764370,0.180056
000670,0.000414,0.000092,0.595032,0.143801,0.765234,0.180468
000675,0.000413,0.000092,0.595570,0.143800,0.765574,0.180510
000680,0.000423,0.000098,0.595189,0.143256,0.764881,0.179934
000685,0.000430,0.000101,0.594210,0.142428,0.763598,0.179079
000690,0.000431,0.000101,0.594469,0.142349,0.763547,0.178971
000695,0.000430,0.000101,0.595357,0.142608,0.764047,0.179159
000700,0.000429,0.000100,0.595690,0.142571,0.764147,0.179134
000705,0.000429,0.000100,0.596305,0.142675,0.764520,0.179243
000710,0.000428,0.000099,0.597168,0.142890,0.765087,0.179435
000715,0.000427,0.000099,0.597642,0.142918,0.765256,0.179436
000720,0.000426,0.000098,0.598868,0.143273,0.766059,0.179714
000725,0.000427,0.000098,0.599183,0.143225,0.766007,0.179616
000730,0.000427,0.000098,0.599780,0.143298,0.766370,0.179694
000735,0.000426,0.000097,0.600260,0.143322,0.766624,0.179725
000740,0.000427,0.000098,0.600270,0.143166,0.766437,0.179586
000745,0.000427,0.000098,0.600551,0.143123,0.766530,0.179560
000750,0.000430,0.000099,0.600328,0.142898,0.766054,0.179327
000755,0.000430,0.000098,0.600573,0.142854,0.766226,0.179338
000760,0.000431,0.000099,0.600409,0.142671,0.765964,0.179198
000765,0.000431,0.000098,0.600476,0.142576,0.765928,0.179142
000770,0.000431,0.000098,0.600525,0.142481,0.765907,0.179094
000775,0.000434,0.000099,0.600135,0.142248,0.765377,0.178882
000780,0.000433,0.000099,0.600847,0.142379,0.765826,0.178992
000785,0.000434,0.000099,0.600995,0.142328,0.765685,0.178914
000790,0.000433,0.000099,0.601645,0.142435,0.766039,0.178991
000795,0.000433,0.000099,0.601743,0.142373,0.765987,0.178943
000800,0.000433,0.000098,0.602076,0.142383,0.766099,0.178946
000805,0.000434,0.000099,0.602096,0.142304,0.766007,0.178890
000810,0.000434,0.000098,0.602741,0.142407,0.766299,0.178945
000815,0.000435,0.000099,0.602791,0.142340,0.766211,0.178893
000820,0.000435,0.000182,0.602984,0.166953,0.766266,0.215879
000825,0.000440,0.000192,0.602443,0.179693,0.765592,0.227337
